### AMB = Environment; GEN = Genotype; BLO = Blocks/Repetitions; PROD = Yield
AMB	GEN	BLO	PROD
1	1	1	35.6	
1	1	2	34.31	
1	1	3	25.41	
1	2	1	43.63	
1	2	2	31.02	
1	2	3	43.81	
1	3	1	29.1	
1	3	2	31.34	
1	3	3	34.16	
1	4	1	22.56	
1	4	2	34.04	
1	4	3	35.57	
1	5	1	41.63	
1	5	2	47.49	
1	5	3	40.79	
1	6	1	45.32	
1	6	2	40.97	
1	6	3	40.55	
1	7	1	32.93	
1	7	2	26.48	
1	7	3	24.83	
1	8	1	31.7	
1	8	2	35.77	
1	8	3	38.32	
1	9	1	31.48	
1	9	2	42.97	
1	9	3	42.04	
1	10	1	43.52	
1	10	2	46.59	
1	10	3	36.49	
1	11	1	39.4	
1	11	2	31.22	
1	11	3	42.4	
1	12	1	33.65	
1	12	2	30.04	
1	12	3	30.91	
1	13	1	32.31	
1	13	2	43.13	
1	13	3	50.37	
1	14	1	32.84	
1	14	2	40.94	
1	14	3	28.89	
1	15	1	41.85	
1	15	2	36.14	
1	15	3	42.82	
2	1	1	46.3	
2	1	2	36.05	
2	1	3	46.04	
2	2	1	29.51	
2	2	2	28.56	
2	2	3	35.34	
2	3	1	25.67	
2	3	2	35.47	
2	3	3	38.21	
2	4	1	36.92	
2	4	2	45.34	
2	4	3	36.18	
2	5	1	43.18	
2	5	2	41.32	
2	5	3	38.09	
2	6	1	35.08	
2	6	2	27.74	
2	6	3	36.1	
2	7	1	33.94	
2	7	2	35.17	
2	7	3	41.24	
2	8	1	27.57	
2	8	2	39.95	
2	8	3	39.41	
2	9	1	42.48	
2	9	2	48.43	
2	9	3	33.69	
2	10	1	39.78	
2	10	2	33.73	
2	10	3	42.73	
2	11	1	36.37	
2	11	2	29.11	
2	11	3	32.76	
2	12	1	32.85	
2	12	2	42.89	
2	12	3	50.42	
2	13	1	27.08	
2	13	2	35.85	
2	13	3	24.8	
2	14	1	43.29	
2	14	2	42.91	
2	14	3	42.9	
2	15	1	37.51	
2	15	2	29.94	
2	15	3	29.46	
3	1	1	45.68	
3	1	2	39.59	
3	1	3	44.56	
3	2	1	34.85	
3	2	2	33.6	
3	2	3	30.53	
3	3	1	30.75	
3	3	2	40.52	
3	3	3	31.23	
3	4	1	31.47	
3	4	2	39.89	
3	4	3	40.7	
3	5	1	32.87	
3	5	2	29.52	
3	5	3	40.08	
3	6	1	41.37	
3	6	2	32.86	
3	6	3	33.46	
3	7	1	36.92	
3	7	2	44.14	
3	7	3	41.07	
3	8	1	34.8	
3	8	2	45.17	
3	8	3	31.94	
3	9	1	29.29	
3	9	2	32.85	
3	9	3	45.2	
3	10	1	33.66	
3	10	2	25.41	
3	10	3	31.6	
3	11	1	45.99	
3	11	2	45.9	
3	11	3	43.92	
3	12	1	36.59	
3	12	2	41.42	
3	12	3	32.63	
3	13	1	25.32	
3	13	2	38.29	
3	13	3	44.34	
3	14	1	31.29	
3	14	2	26.87	
3	14	3	28.97	
3	15	1	46.69	
3	15	2	36.43	
3	15	3	47.13	
4	1	1	44.16	
4	1	2	48.96	
4	1	3	49.07	
4	2	1	25.97	
4	2	2	36.65	
4	2	3	31.46	
4	3	1	36.94	
4	3	2	33.7	
4	3	3	44.43	
4	4	1	36.3	
4	4	2	28.55	
4	4	3	32.92	
4	5	1	36.7	
4	5	2	37.41	
4	5	3	38.06	
4	6	1	38.57	
4	6	2	42.94	
4	6	3	33.74	
4	7	1	30.58	
4	7	2	34.24	
4	7	3	44.41	
4	8	1	28.68	
4	8	2	29.74	
4	8	3	34.65	
4	9	1	45.94	
4	9	2	30.88	
4	9	3	31.62	
4	10	1	41.79	
4	10	2	48.25	
4	10	3	45.46	
4	11	1	24.61	
4	11	2	37.93	
4	11	3	29.56	
4	12	1	34	
4	12	2	29.93	
4	12	3	46.62	
4	13	1	43.54	
4	13	2	34.6	
4	13	3	34.06	
4	14	1	34.12	
4	14	2	35.33	
4	14	3	38.28	
4	15	1	35.63	
4	15	2	43.34	
4	15	3	33.06	
5	1	1	39.53	
5	1	2	37.24	
5	1	3	34.97	
5	2	1	40.33	
5	2	2	33.09	
5	2	3	41.92	
5	3	1	29.3	
5	3	2	32.5	
5	3	3	34.84	
5	4	1	28.48	
5	4	2	36.58	
5	4	3	38.78	
5	5	1	40.57	
5	5	2	43.62	
5	5	3	31.75	
5	6	1	40.09	
5	6	2	39.82	
5	6	3	49.1	
5	7	1	35.69	
5	7	2	26.16	
5	7	3	27.39	
5	8	1	28.23	
5	8	2	33.25	
5	8	3	42.87	
5	9	1	30.35	
5	9	2	44.26	
5	9	3	33.89	
5	10	1	45.07	
5	10	2	46.84	
5	10	3	39.64	
5	11	1	39.58	
5	11	2	24.64	
5	11	3	34.64	
5	12	1	33.73	
5	12	2	38.61	
5	12	3	47.76	
5	13	1	23.4	
5	13	2	34.5	
5	13	3	27.74	
5	14	1	42.31	
5	14	2	44.4	
5	14	3	40.19	
5	15	1	40.85	
5	15	2	36.93	
5	15	3	41.89	
6	1	1	43.75	
6	1	2	34.77	
6	1	3	34.33	
6	2	1	37.59	
6	2	2	43.68	
6	2	3	40.96	
6	3	1	29.85	
6	3	2	41.71	
6	3	3	31.6	
6	4	1	26.23	
6	4	2	26.49	
6	4	3	35.4	
6	5	1	45.46	
6	5	2	37.41	
6	5	3	44.5	
6	6	1	35.27	
6	6	2	35.89	
6	6	3	33.16	
6	7	1	40.36	
6	7	2	48.34	
6	7	3	39.51	
6	8	1	23.96	
6	8	2	32.66	
6	8	3	36.5	
6	9	1	33.58	
6	9	2	30.94	
6	9	3	40.2	
6	10	1	39.13	
6	10	2	29.89	
6	10	3	32.65	
6	11	1	38.85	
6	11	2	44.39	
6	11	3	41.95	
6	12	1	31.04	
6	12	2	41.19	
6	12	3	27.98	
6	13	1	31.11	
6	13	2	37.65	
6	13	3	50.5	
6	14	1	37.56	
6	14	2	27.69	
6	14	3	30.79	
6	15	1	43.78	
6	15	2	39.75	
6	15	3	47.32	
7	1	1	37.59	
7	1	2	28.13	
7	1	3	42.25	
7	2	1	39.83	
7	2	2	28.26	
7	2	3	36.56	
7	3	1	46.91	
7	3	2	30.42	
7	3	3	22.06	
7	4	1	27.09	
7	4	2	41.86	
7	4	3	30.38	
7	5	1	33.7	
7	5	2	43.34	
7	5	3	37.75	
7	6	1	26.36	
7	6	2	41.96	
7	6	3	37.32	
7	7	1	44.81	
7	7	2	31.03	
7	7	3	39.66	
7	8	1	29.87	
7	8	2	44.64	
7	8	3	36.36	
7	9	1	34.32	
7	9	2	28.21	
7	9	3	44.3	
7	10	1	41.78	
7	10	2	34.86	
7	10	3	41.41	
7	11	1	33.08	
7	11	2	39.05	
7	11	3	34.17	
7	12	1	37.11	
7	12	2	25.56	
7	12	3	40.74	
7	13	1	30.82	
7	13	2	39.89	
7	13	3	26.67	
7	14	1	27.82	
7	14	2	33.99	
7	14	3	39.72	
7	15	1	43.27	
7	15	2	23.58	
7	15	3	36.65	
8	1	1	27.21	
8	1	2	40.47	
8	1	3	29.86	
8	2	1	40.71	
8	2	2	28	
8	2	3	48.15	
8	3	1	39.37	
8	3	2	39.53	
8	3	3	31.1	
8	4	1	25.76	
8	4	2	37.87	
8	4	3	37.77	
8	5	1	46.12	
8	5	2	35.56	
8	5	3	43.5	
